Year 2017
Date/time;DA026 (Sir George Kneipp)-Light and Power.Active energy (3087.1 kWh)
4/18/17 11:00:00 AM;1.8
4/18/17 12:00:00 PM;3.8
4/18/17 1:00:00 PM;4.5
4/18/17 2:00:00 PM;4.9
4/18/17 3:00:00 PM;4.4
4/18/17 4:00:00 PM;4.6
4/18/17 5:00:00 PM;5.1
4/18/17 6:00:00 PM;5.6
4/18/17 7:00:00 PM;4.6
4/18/17 8:00:00 PM;3.1
4/18/17 9:00:00 PM;1.4
4/18/17 10:00:00 PM;1.9
4/18/17 11:00:00 PM;1.4
4/19/17 12:00:00 AM;1.5
4/19/17 1:00:00 AM;1.5
4/19/17 2:00:00 AM;2.0
4/19/17 3:00:00 AM;2.0
4/19/17 4:00:00 AM;1.4
4/19/17 5:00:00 AM;1.9
4/19/17 6:00:00 AM;2.6
4/19/17 7:00:00 AM;3.2
4/19/17 8:00:00 AM;4.2
4/19/17 9:00:00 AM;4.4
4/19/17 10:00:00 AM;2.5
4/19/17 11:00:00 AM;3.5
4/19/17 12:00:00 PM;4.2
4/19/17 1:00:00 PM;3.7
4/19/17 2:00:00 PM;3.4
4/19/17 3:00:00 PM;3.5
4/19/17 4:00:00 PM;3.7
4/19/17 5:00:00 PM;3.8
4/19/17 6:00:00 PM;4.6
4/19/17 7:00:00 PM;2.1
4/19/17 8:00:00 PM;1.6
4/19/17 9:00:00 PM;1.7
4/19/17 10:00:00 PM;2.8
4/19/17 11:00:00 PM;1.7
4/20/17 12:00:00 AM;1.7
4/20/17 1:00:00 AM;1.7
4/20/17 2:00:00 AM;2.1
4/20/17 3:00:00 AM;1.7
4/20/17 4:00:00 AM;1.7
4/20/17 5:00:00 AM;1.7
4/20/17 6:00:00 AM;2.5
4/20/17 7:00:00 AM;1.0
4/20/17 8:00:00 AM;3.5
4/20/17 9:00:00 AM;4.0
4/20/17 10:00:00 AM;3.5
4/20/17 11:00:00 AM;4.3
4/20/17 12:00:00 PM;5.1
4/20/17 1:00:00 PM;2.4
4/20/17 2:00:00 PM;2.8
4/20/17 3:00:00 PM;5.3
4/20/17 4:00:00 PM;5.3
4/20/17 5:00:00 PM;6.1
4/20/17 6:00:00 PM;7.5
4/20/17 7:00:00 PM;6.6
4/20/17 8:00:00 PM;1.4
4/20/17 9:00:00 PM;1.4
4/20/17 10:00:00 PM;1.4
4/20/17 11:00:00 PM;1.8
4/21/17 12:00:00 AM;1.4
4/21/17 1:00:00 AM;2.1
4/21/17 2:00:00 AM;1.9
4/21/17 3:00:00 AM;1.4
4/21/17 4:00:00 AM;1.4
4/21/17 5:00:00 AM;1.9
4/21/17 6:00:00 AM;4.3
4/21/17 7:00:00 AM;4.1
4/21/17 8:00:00 AM;4.7
4/21/17 9:00:00 AM;3.8
4/21/17 10:00:00 AM;2.5
4/21/17 11:00:00 AM;2.4
4/21/17 12:00:00 PM;2.9
4/21/17 1:00:00 PM;2.5
4/21/17 2:00:00 PM;3.2
4/21/17 3:00:00 PM;4.3
4/21/17 4:00:00 PM;6.2
4/21/17 5:00:00 PM;2.4
4/21/17 6:00:00 PM;1.5
4/21/17 7:00:00 PM;1.9
4/21/17 8:00:00 PM;1.6
4/21/17 9:00:00 PM;1.5
4/21/17 10:00:00 PM;1.5
4/21/17 11:00:00 PM;1.5
4/22/17 12:00:00 AM;1.5
