Date/time;018 (Library)-Mains.Active energy (105936.0 kWh),timestamp_no_value,timestamp_values,timestamp_only,TESAG_val,Date,timestamp_values,,timestamp
12/12/07 10:00:00 PM;43.9,12/12/07 10:00:00 ,1/1/17 8:15:00 AM;,8:15:00 AM;,7.4,2017-01-01,08:15:00,,2017-01-01T08:15:00+10:00
12/12/07 11:00:00 PM;175.5,12/12/07 11:00:00 ,1/1/17 8:30:00 AM;,8:30:00 AM;,7.1,2017-01-01,08:30:00,,2017-01-01T08:30:00+10:00
12/13/07 12:00:00 AM;193.7,12/13/07 12:00:00 ,1/1/17 8:45:00 AM;,8:45:00 AM;,7.7,2017-01-01,08:45:00,,2017-01-01T08:45:00+10:00
12/13/07 1:00:00 AM;184.2,12/13/07 1:00:00 A,1/1/17 9:00:00 AM;,9:00:00 AM;,8.9,2017-01-01,09:00:00,,2017-01-01T09:00:00+10:00
12/13/07 2:00:00 AM;183.8,12/13/07 2:00:00 A,1/1/17 9:15:00 AM;,9:15:00 AM;,8.4,2017-01-01,09:15:00,,2017-01-01T09:15:00+10:00
12/13/07 3:00:00 AM;184.3,12/13/07 3:00:00 A,1/1/17 9:30:00 AM;,9:30:00 AM;,7.8,2017-01-01,09:30:00,,2017-01-01T09:30:00+10:00
12/13/07 4:00:00 AM;189.8,12/13/07 4:00:00 A,1/1/17 9:45:00 AM;,9:45:00 AM;,7.2,2017-01-01,09:45:00,,2017-01-01T09:45:00+10:00
12/13/07 5:00:00 AM;182.8,12/13/07 5:00:00 A,1/1/17 10:00:00 AM,10:00:00 AM,7.8,2017-01-01,10:00:00,,2017-01-01T10:00:00+10:00
12/13/07 6:00:00 AM;374.1,12/13/07 6:00:00 A,1/1/17 10:15:00 AM,10:15:00 AM,8.4,2017-01-01,10:15:00,,2017-01-01T10:15:00+10:00
12/13/07 7:00:00 AM;400.8,12/13/07 7:00:00 A,1/1/17 10:30:00 AM,10:30:00 AM,8.1,2017-01-01,10:30:00,,2017-01-01T10:30:00+10:00
12/13/07 8:00:00 AM;407.4,12/13/07 8:00:00 A,1/1/17 10:45:00 AM,10:45:00 AM,8.3,2017-01-01,10:45:00,,2017-01-01T10:45:00+10:00
12/13/07 9:00:00 AM;419.9,12/13/07 9:00:00 A,1/1/17 11:00:00 AM,11:00:00 AM,8.2,2017-01-01,11:00:00,,2017-01-01T11:00:00+10:00
12/13/07 10:00:00 AM;422.6,12/13/07 10:00:00 ,1/1/17 11:15:00 AM,11:15:00 AM,8,2017-01-01,11:15:00,,2017-01-01T11:15:00+10:00
12/13/07 11:00:00 AM;407.6,12/13/07 11:00:00 ,1/1/17 11:30:00 AM,11:30:00 AM,8,2017-01-01,11:30:00,,2017-01-01T11:30:00+10:00
12/13/07 12:00:00 PM;420.3,12/13/07 12:00:00 ,1/1/17 11:45:00 AM,11:45:00 AM,8.7,2017-01-01,11:45:00,,2017-01-01T11:45:00+10:00
12/13/07 1:00:00 PM;411.9,12/13/07 1:00:00 P,1/1/17 12:00:00 PM,12:00:00 PM,8.1,2017-01-01,12:00:00,,2017-01-01T12:00:00+10:00
12/13/07 2:00:00 PM;436.8,12/13/07 2:00:00 P,1/1/17 12:15:00 PM,12:15:00 PM,8.2,2017-01-01,12:15:00,,2017-01-01T12:15:00+10:00
12/13/07 3:00:00 PM;431.4,12/13/07 3:00:00 P,1/1/17 12:30:00 PM,12:30:00 PM,8.5,2017-01-01,12:30:00,,2017-01-01T12:30:00+10:00
12/13/07 4:00:00 PM;461.9,12/13/07 4:00:00 P,1/1/17 12:45:00 PM,12:45:00 PM,7.2,2017-01-01,12:45:00,,2017-01-01T12:45:00+10:00
12/13/07 5:00:00 PM;456.8,12/13/07 5:00:00 P,1/1/17 1:00:00 PM;,1:00:00 PM;,7.5,2017-01-01,13:00:00,,2017-01-01T13:00:00+10:00
12/13/07 6:00:00 PM;209.9,12/13/07 6:00:00 P,1/1/17 1:15:00 PM;,1:15:00 PM;,7.6,2017-01-01,13:15:00,,2017-01-01T13:15:00+10:00
12/13/07 7:00:00 PM;193.0,12/13/07 7:00:00 P,1/1/17 1:30:00 PM;,1:30:00 PM;,8.4,2017-01-01,13:30:00,,2017-01-01T13:30:00+10:00
12/13/07 8:00:00 PM;187.9,12/13/07 8:00:00 P,1/1/17 1:45:00 PM;,1:45:00 PM;,8,2017-01-01,13:45:00,,2017-01-01T13:45:00+10:00
12/13/07 9:00:00 PM;145.4,12/13/07 9:00:00 P,1/1/17 2:00:00 PM;,2:00:00 PM;,8.3,2017-01-01,14:00:00,,2017-01-01T14:00:00+10:00
12/13/07 10:00:00 PM;46.6,12/13/07 10:00:00 ,1/1/17 2:15:00 PM;,2:15:00 PM;,8.8,2017-01-01,14:15:00,,2017-01-01T14:15:00+10:00
12/13/07 11:00:00 PM;206.8,12/13/07 11:00:00 ,1/1/17 2:30:00 PM;,2:30:00 PM;,8.8,2017-01-01,14:30:00,,2017-01-01T14:30:00+10:00
12/14/07 12:00:00 AM;225.2,12/14/07 12:00:00 ,1/1/17 2:45:00 PM;,2:45:00 PM;,8.3,2017-01-01,14:45:00,,2017-01-01T14:45:00+10:00
12/14/07 1:00:00 AM;223.7,12/14/07 1:00:00 A,1/1/17 3:00:00 PM;,3:00:00 PM;,8.8,2017-01-01,15:00:00,,2017-01-01T15:00:00+10:00
12/14/07 2:00:00 AM;225.7,12/14/07 2:00:00 A,1/1/17 3:15:00 PM;,3:15:00 PM;,9.4,2017-01-01,15:15:00,,2017-01-01T15:15:00+10:00
