Year 2017
Date/time;DB025 (Nursing Science)-Mains.Active energy (115708.6 kWh)
1/1/17 12:00:00 AM;15.4
1/1/17 1:00:00 AM;15.4
1/1/17 2:00:00 AM;15.3
1/1/17 3:00:00 AM;15.3
1/1/17 4:00:00 AM;15.3
1/1/17 5:00:00 AM;16.1
1/1/17 6:00:00 AM;13.3
1/1/17 7:00:00 AM;13.2
1/1/17 8:00:00 AM;13.3
1/1/17 9:00:00 AM;7.8
1/1/17 10:00:00 AM;7.9
1/1/17 11:00:00 AM;7.8
1/1/17 12:00:00 PM;7.7
1/1/17 1:00:00 PM;7.8
1/1/17 2:00:00 PM;7.8
1/1/17 3:00:00 PM;7.8
1/1/17 4:00:00 PM;8.5
1/1/17 5:00:00 PM;7.7
1/1/17 6:00:00 PM;10.8
1/1/17 7:00:00 PM;15.4
1/1/17 8:00:00 PM;15.2
1/1/17 9:00:00 PM;15.8
1/1/17 10:00:00 PM;15.4
1/1/17 11:00:00 PM;15.3
1/2/17 12:00:00 AM;15.2
1/2/17 1:00:00 AM;15.3
1/2/17 2:00:00 AM;15.5
1/2/17 3:00:00 AM;16.1
1/2/17 4:00:00 AM;15.7
1/2/17 5:00:00 AM;19.9
1/2/17 6:00:00 AM;34.4
1/2/17 7:00:00 AM;30.8
1/2/17 8:00:00 AM;28.5
1/2/17 9:00:00 AM;27.9
1/2/17 10:00:00 AM;28.3
1/2/17 11:00:00 AM;27.7
1/2/17 12:00:00 PM;27.7
1/2/17 1:00:00 PM;28.2
1/2/17 2:00:00 PM;28.4
1/2/17 3:00:00 PM;27.4
1/2/17 4:00:00 PM;26.9
1/2/17 5:00:00 PM;22.5
1/2/17 6:00:00 PM;7.8
1/2/17 7:00:00 PM;15.3
1/2/17 8:00:00 PM;15.4
1/2/17 9:00:00 PM;15.6
1/2/17 10:00:00 PM;15.3
1/2/17 11:00:00 PM;15.9
1/3/17 12:00:00 AM;15.4
1/3/17 1:00:00 AM;15.5
1/3/17 2:00:00 AM;16.2
1/3/17 3:00:00 AM;15.7
1/3/17 4:00:00 AM;15.4
1/3/17 5:00:00 AM;19.5
1/3/17 6:00:00 AM;33.2
1/3/17 7:00:00 AM;31.6
1/3/17 8:00:00 AM;35.0
1/3/17 9:00:00 AM;36.2
1/3/17 10:00:00 AM;36.1
1/3/17 11:00:00 AM;35.6
1/3/17 12:00:00 PM;36.2
1/3/17 1:00:00 PM;36.4
1/3/17 2:00:00 PM;35.8
1/3/17 3:00:00 PM;33.9
1/3/17 4:00:00 PM;31.9
1/3/17 5:00:00 PM;28.7
1/3/17 6:00:00 PM;16.0
1/3/17 7:00:00 PM;10.5
1/3/17 8:00:00 PM;12.5
1/3/17 9:00:00 PM;13.1
1/3/17 10:00:00 PM;12.9
1/3/17 11:00:00 PM;13.1
1/4/17 12:00:00 AM;13.6
1/4/17 1:00:00 AM;12.7
1/4/17 2:00:00 AM;13.0
1/4/17 3:00:00 AM;12.7
1/4/17 4:00:00 AM;12.9
1/4/17 5:00:00 AM;17.3
1/4/17 6:00:00 AM;29.1
1/4/17 7:00:00 AM;29.2
1/4/17 8:00:00 AM;34.9
1/4/17 9:00:00 AM;37.0
1/4/17 10:00:00 AM;36.7
1/4/17 11:00:00 AM;37.4
1/4/17 12:00:00 PM;37.3
1/4/17 1:00:00 PM;37.2
1/4/17 2:00:00 PM;38.1
1/4/17 3:00:00 PM;36.4
1/4/17 4:00:00 PM;33.4
1/4/17 5:00:00 PM;28.3
1/4/17 6:00:00 PM;16.9
1/4/17 7:00:00 PM;17.6
1/4/17 8:00:00 PM;18.0
1/4/17 9:00:00 PM;17.8
1/4/17 10:00:00 PM;18.7
1/4/17 11:00:00 PM;17.9
1/5/17 12:00:00 AM;17.8
1/5/17 1:00:00 AM;18.0
1/5/17 2:00:00 AM;17.7
1/5/17 3:00:00 AM;17.5
1/5/17 4:00:00 AM;17.9
1/5/17 5:00:00 AM;19.9
1/5/17 6:00:00 AM;27.3
