timestamp,TESAG,geo
2017-01-01T00:00:00+10:00,8,"POLYGON((146.758888146 -19.32918768, 146.758944943 -19.3291934389999,  146.758963144 -19.329031689, 146.759076737 -19.329043208, 146.759058536 -19.3292049579999, 146.759342518 -19.329233754, 146.759328362 -19.329359559, 146.75904438 -19.329330763, 146.759020112 -19.3295464299999, 146.759304095 -19.329575226, 146.759289938 -19.3297010319999, 146.758835565 -19.3296549579999, 146.758849722 -19.329529152, 146.758906519 -19.3295349119999, 146.758930787 -19.329319245, 146.75887399 -19.3293134859999, 146.758888146 -19.32918768))"
2017-01-01T00:15:00+10:00,8.5,"POLYGON((146.758888146 -19.32918768, 146.758944943 -19.3291934389999,  146.758963144 -19.329031689, 146.759076737 -19.329043208, 146.759058536 -19.3292049579999, 146.759342518 -19.329233754, 146.759328362 -19.329359559, 146.75904438 -19.329330763, 146.759020112 -19.3295464299999, 146.759304095 -19.329575226, 146.759289938 -19.3297010319999, 146.758835565 -19.3296549579999, 146.758849722 -19.329529152, 146.758906519 -19.3295349119999, 146.758930787 -19.329319245, 146.75887399 -19.3293134859999, 146.758888146 -19.32918768))"
2017-01-01T00:30:00+10:00,8.3,"POLYGON((146.758888146 -19.32918768, 146.758944943 -19.3291934389999,  146.758963144 -19.329031689, 146.759076737 -19.329043208, 146.759058536 -19.3292049579999, 146.759342518 -19.329233754, 146.759328362 -19.329359559, 146.75904438 -19.329330763, 146.759020112 -19.3295464299999, 146.759304095 -19.329575226, 146.759289938 -19.3297010319999, 146.758835565 -19.3296549579999, 146.758849722 -19.329529152, 146.758906519 -19.3295349119999, 146.758930787 -19.329319245, 146.75887399 -19.3293134859999, 146.758888146 -19.32918768))"
2017-01-01T00:45:00+10:00,7.6,"POLYGON((146.758888146 -19.32918768, 146.758944943 -19.3291934389999,  146.758963144 -19.329031689, 146.759076737 -19.329043208, 146.759058536 -19.3292049579999, 146.759342518 -19.329233754, 146.759328362 -19.329359559, 146.75904438 -19.329330763, 146.759020112 -19.3295464299999, 146.759304095 -19.329575226, 146.759289938 -19.3297010319999, 146.758835565 -19.3296549579999, 146.758849722 -19.329529152, 146.758906519 -19.3295349119999, 146.758930787 -19.329319245, 146.75887399 -19.3293134859999, 146.758888146 -19.32918768))"
2017-01-01T01:00:00+10:00,7.5,"POLYGON((146.758888146 -19.32918768, 146.758944943 -19.3291934389999,  146.758963144 -19.329031689, 146.759076737 -19.329043208, 146.759058536 -19.3292049579999, 146.759342518 -19.329233754, 146.759328362 -19.329359559, 146.75904438 -19.329330763, 146.759020112 -19.3295464299999, 146.759304095 -19.329575226, 146.759289938 -19.3297010319999, 146.758835565 -19.3296549579999, 146.758849722 -19.329529152, 146.758906519 -19.3295349119999, 146.758930787 -19.329319245, 146.75887399 -19.3293134859999, 146.758888146 -19.32918768))"
2017-01-01T01:15:00+10:00,8.1,"POLYGON((146.758888146 -19.32918768, 146.758944943 -19.3291934389999,  146.758963144 -19.329031689, 146.759076737 -19.329043208, 146.759058536 -19.3292049579999, 146.759342518 -19.329233754, 146.759328362 -19.329359559, 146.75904438 -19.329330763, 146.759020112 -19.3295464299999, 146.759304095 -19.329575226, 146.759289938 -19.3297010319999, 146.758835565 -19.3296549579999, 146.758849722 -19.329529152, 146.758906519 -19.3295349119999, 146.758930787 -19.329319245, 146.75887399 -19.3293134859999, 146.758888146 -19.32918768))"
2017-01-01T01:30:00+10:00,8.3,"POLYGON((146.758888146 -19.32918768, 146.758944943 -19.3291934389999,  146.758963144 -19.329031689, 146.759076737 -19.329043208, 146.759058536 -19.3292049579999, 146.759342518 -19.329233754, 146.759328362 -19.329359559, 146.75904438 -19.329330763, 146.759020112 -19.3295464299999, 146.759304095 -19.329575226, 146.759289938 -19.3297010319999, 146.758835565 -19.3296549579999, 146.758849722 -19.329529152, 146.758906519 -19.3295349119999, 146.758930787 -19.329319245, 146.75887399 -19.3293134859999, 146.758888146 -19.32918768))"
2017-01-01T01:45:00+10:00,7.8,"POLYGON((146.758888146 -19.32918768, 146.758944943 -19.3291934389999,  146.758963144 -19.329031689, 146.759076737 -19.329043208, 146.759058536 -19.3292049579999, 146.759342518 -19.329233754, 146.759328362 -19.329359559, 146.75904438 -19.329330763, 146.759020112 -19.3295464299999, 146.759304095 -19.329575226, 146.759289938 -19.3297010319999, 146.758835565 -19.3296549579999, 146.758849722 -19.329529152, 146.758906519 -19.3295349119999, 146.758930787 -19.329319245, 146.75887399 -19.3293134859999, 146.758888146 -19.32918768))"
2017-01-01T02:00:00+10:00,8,"POLYGON((146.758888146 -19.32918768, 146.758944943 -19.3291934389999,  146.758963144 -19.329031689, 146.759076737 -19.329043208, 146.759058536 -19.3292049579999, 146.759342518 -19.329233754, 146.759328362 -19.329359559, 146.75904438 -19.329330763, 146.759020112 -19.3295464299999, 146.759304095 -19.329575226, 146.759289938 -19.3297010319999, 146.758835565 -19.3296549579999, 146.758849722 -19.329529152, 146.758906519 -19.3295349119999, 146.758930787 -19.329319245, 146.75887399 -19.3293134859999, 146.758888146 -19.32918768))"
2017-01-01T02:15:00+10:00,8.2,"POLYGON((146.758888146 -19.32918768, 146.758944943 -19.3291934389999,  146.758963144 -19.329031689, 146.759076737 -19.329043208, 146.759058536 -19.3292049579999, 146.759342518 -19.329233754, 146.759328362 -19.329359559, 146.75904438 -19.329330763, 146.759020112 -19.3295464299999, 146.759304095 -19.329575226, 146.759289938 -19.3297010319999, 146.758835565 -19.3296549579999, 146.758849722 -19.329529152, 146.758906519 -19.3295349119999, 146.758930787 -19.329319245, 146.75887399 -19.3293134859999, 146.758888146 -19.32918768))"
